unit,date,year,road_accident_deaths,own_tax_revenue_cr,nsdp_pc_current_inr,urban_share_pct,literacy_rate_pct
Andhra Pradesh,2010-01-01,2010,15684.0,35176.0,,33.2,67.0
Andhra Pradesh,2011-01-01,2011,15165.0,45140.0,,33.5,67.4
Andhra Pradesh,2012-01-01,2012,14964.0,53283.0,69000.0,33.8,67.8
Andhra Pradesh,2013-01-01,2013,14171.0,59875.0,74687.0,34.1,68.2
Andhra Pradesh,2014-01-01,2014,7908.0,64124.0,82870.0,34.4,68.6
Andhra Pradesh,2015-01-01,2015,8297.0,42618.0,93903.0,34.7,69.0
Andhra Pradesh,2016-01-01,2016,8541.0,39907.0,108002.0,35.0,69.4
Andhra Pradesh,2017-01-01,2017,8060.0,44181.0,120676.0,35.3,69.8
Andhra Pradesh,2018-01-01,2018,7556.0,52414.0,138299.0,35.6,70.2
Andhra Pradesh,2019-01-01,2019,7984.0,58677.0,154031.0,35.9,70.6
Andhra Pradesh,2020-01-01,2020,7039.0,57601.0,160341.0,36.2,71.0
Andhra Pradesh,2021-01-01,2021,8186.0,57409.0,168063.0,36.5,71.4
Andhra Pradesh,2022-01-01,2022,8293.0,70979.0,193703.0,36.8,71.8
Bihar,2010-01-01,2010,5137.0,8090.0,,11.1,63.1
Bihar,2011-01-01,2011,5090.0,9870.0,,11.3,63.8
Bihar,2012-01-01,2012,5056.0,12612.0,21750.0,11.5,64.5
Bihar,2013-01-01,2013,5061.0,16253.0,24487.0,11.7,65.2
Bihar,2014-01-01,2014,4913.0,19961.0,26948.0,11.9,65.9
Bihar,2015-01-01,2015,5421.0,20750.0,28671.0,12.1,66.6
Bihar,2016-01-01,2016,4901.0,25449.0,30404.0,12.3,67.3
Bihar,2017-01-01,2017,5554.0,23742.0,34045.0,12.5,68.0
Bihar,2018-01-01,2018,6729.0,29708.0,36850.0,12.7,68.7
Bihar,2019-01-01,2019,7205.0,30858.0,40715.0,12.9,69.4
Bihar,2020-01-01,2020,6699.0,30144.0,44175.0,13.1,70.1
Bihar,2021-01-01,2021,7660.0,30342.0,42128.0,13.3,70.8
Bihar,2022-01-01,2022,8898.0,34855.0,47296.0,13.5,71.5
Haryana,2010-01-01,2010,4719.0,13220.0,,34.4,75.15
Haryana,2011-01-01,2011,4762.0,16790.0,,34.8,75.6
Haryana,2012-01-01,2012,4446.0,20399.0,106085.0,35.2,76.05
Haryana,2013-01-01,2013,4517.0,23559.0,121269.0,35.6,76.5
Haryana,2014-01-01,2014,4483.0,25567.0,137770.0,36.0,76.95
Haryana,2015-01-01,2015,4879.0,27635.0,147382.0,36.4,77.4
Haryana,2016-01-01,2016,5024.0,30929.0,164963.0,36.8,77.85
Haryana,2017-01-01,2017,5120.0,34026.0,184982.0,37.2,78.3
Haryana,2018-01-01,2018,5118.0,41836.0,208437.0,37.6,78.75
Haryana,2019-01-01,2019,5057.0,42744.0,223022.0,38.0,79.2
Haryana,2020-01-01,2020,4507.0,42825.0,232530.0,38.4,79.65
Haryana,2021-01-01,2021,4706.0,41914.0,225137.0,38.8,80.1
Haryana,2022-01-01,2022,4915.0,53377.0,265163.0,39.2,80.55
Jharkhand,2010-01-01,2010,2540.0,5560.0,,23.9,65.75
Jharkhand,2011-01-01,2011,2572.0,5967.0,,24.1,66.4
Jharkhand,2012-01-01,2012,2818.0,6954.0,41254.0,24.3,67.05
Jharkhand,2013-01-01,2013,2706.0,8224.0,47360.0,24.5,67.7
Jharkhand,2014-01-01,2014,2628.0,9380.0,50006.0,24.7,68.35
Jharkhand,2015-01-01,2015,2893.0,10350.0,57301.0,24.9,69.0
Jharkhand,2016-01-01,2016,3027.0,11479.0,52754.0,25.1,69.65
Jharkhand,2017-01-01,2017,3256.0,13299.0,60018.0,25.3,70.3
Jharkhand,2018-01-01,2018,3542.0,14488.0,67484.0,25.5,70.95
Jharkhand,2019-01-01,2019,3801.0,14752.0,75421.0,25.7,71.6
Jharkhand,2020-01-01,2020,3044.0,16771.0,75016.0,25.9,72.25
Jharkhand,2021-01-01,2021,3513.0,16880.0,69963.0,26.1,72.9
Jharkhand,2022-01-01,2022,3898.0,21290.0,88500.0,26.3,73.55
Karnataka,2010-01-01,2010,9590.0,30579.0,,38.25,74.95
Karnataka,2011-01-01,2011,8971.0,38473.0,,38.7,75.4
Karnataka,2012-01-01,2012,9448.0,46476.0,90263.0,39.15,75.85
Karnataka,2013-01-01,2013,10046.0,53754.0,102319.0,39.6,76.3
Karnataka,2014-01-01,2014,10452.0,62604.0,118829.0,40.05,76.75
Karnataka,2015-01-01,2015,10856.0,70180.0,130024.0,40.5,77.2
Karnataka,2016-01-01,2016,11133.0,75550.0,148108.0,40.95,77.65
Karnataka,2017-01-01,2017,10609.0,82956.0,169898.0,41.4,78.1
Karnataka,2018-01-01,2018,10990.0,90335.0,185840.0,41.85,78.55
Karnataka,2019-01-01,2019,10958.0,97537.0,205245.0,42.3,79.0
Karnataka,2020-01-01,2020,9760.0,102363.0,222141.0,42.75,79.45
Karnataka,2021-01-01,2021,10038.0,97053.0,221683.0,43.2,79.9
Karnataka,2022-01-01,2022,11702.0,120739.0,268963.0,43.65,80.35
Kerala,2010-01-01,2010,3950.0,17625.0,,47.35,93.75
Kerala,2011-01-01,2011,4145.0,21722.0,,47.7,93.9
Kerala,2012-01-01,2012,4286.0,25719.0,97912.0,48.05,94.05
Kerala,2013-01-01,2013,4258.0,30077.0,110314.0,48.4,94.2
Kerala,2014-01-01,2014,4049.0,31995.0,123388.0,48.75,94.35
Kerala,2015-01-01,2015,4196.0,35233.0,135537.0,49.1,94.5
Kerala,2016-01-01,2016,4287.0,38995.0,148133.0,49.45,94.65
Kerala,2017-01-01,2017,4131.0,42176.0,166246.0,49.8,94.8
Kerala,2018-01-01,2018,4303.0,48160.0,183252.0,50.15,94.95
Kerala,2019-01-01,2019,4440.0,51019.0,205437.0,50.5,95.1
Kerala,2020-01-01,2020,2979.0,50323.0,208879.0,50.85,95.25
Kerala,2021-01-01,2021,3429.0,47661.0,194432.0,51.2,95.4
Kerala,2022-01-01,2022,4317.0,58341.0,230280.0,51.55,95.55
Madhya Pradesh,2010-01-01,2010,8085.0,17273.0,,27.3,68.75
Madhya Pradesh,2011-01-01,2011,7869.0,21419.0,,27.6,69.3
Madhya Pradesh,2012-01-01,2012,8175.0,26973.0,38497.0,27.9,69.85
Madhya Pradesh,2013-01-01,2013,8588.0,30582.0,44773.0,28.2,70.4
Madhya Pradesh,2014-01-01,2014,8569.0,33552.0,51849.0,28.5,70.95
Madhya Pradesh,2015-01-01,2015,9314.0,36567.0,55678.0,28.8,71.5
Madhya Pradesh,2016-01-01,2016,9646.0,40214.0,62080.0,29.1,72.05
Madhya Pradesh,2017-01-01,2017,10177.0,44194.0,74324.0,29.4,72.6
Madhya Pradesh,2018-01-01,2018,10706.0,49943.0,81966.0,29.7,73.15
Madhya Pradesh,2019-01-01,2019,11249.0,52125.0,92337.0,30.0,73.7
Madhya Pradesh,2020-01-01,2020,11141.0,55824.0,101909.0,30.3,74.25
Madhya Pradesh,2021-01-01,2021,12057.0,54459.0,101958.0,30.6,74.8
Madhya Pradesh,2022-01-01,2022,13427.0,66237.0,117402.0,30.9,75.35
Maharashtra,2010-01-01,2010,12340.0,59106.0,,44.8,81.9
Maharashtra,2011-01-01,2011,13057.0,75027.0,,45.2,82.3
Maharashtra,2012-01-01,2012,13333.0,87608.0,99597.0,45.6,82.7
Maharashtra,2013-01-01,2013,13029.0,103449.0,112092.0,46.0,83.1
Maharashtra,2014-01-01,2014,12803.0,108598.0,125261.0,46.4,83.5
Maharashtra,2015-01-01,2015,13212.0,115064.0,132836.0,46.8,83.9
Maharashtra,2016-01-01,2016,12935.0,126608.0,146815.0,47.2,84.3
Maharashtra,2017-01-01,2017,12264.0,136592.0,163726.0,47.6,84.7
Maharashtra,2018-01-01,2018,13261.0,171686.0,172663.0,48.0,85.1
Maharashtra,2019-01-01,2019,12788.0,188341.0,182865.0,48.4,85.5
Maharashtra,2020-01-01,2020,11569.0,188945.0,189843.0,48.8,85.9
Maharashtra,2021-01-01,2021,13528.0,164255.0,182454.0,49.2,86.3
Maharashtra,2022-01-01,2022,15224.0,220927.0,219620.0,49.6,86.7
Odisha,2010-01-01,2010,3837.0,8982.0,,16.5,72.35
Odisha,2011-01-01,2011,3802.0,11193.0,,16.7,72.9
Odisha,2012-01-01,2012,3701.0,13443.0,48387.0,16.9,73.45
Odisha,2013-01-01,2013,4062.0,15034.0,54762.0,17.1,74.0
Odisha,2014-01-01,2014,3931.0,16892.0,60687.0,17.3,74.55
Odisha,2015-01-01,2015,4303.0,19828.0,63345.0,17.5,75.1
Odisha,2016-01-01,2016,4463.0,22527.0,64835.0,17.7,75.65
Odisha,2017-01-01,2017,4790.0,22852.0,77507.0,17.9,76.2
Odisha,2018-01-01,2018,5315.0,31070.0,87055.0,18.1,76.75
Odisha,2019-01-01,2019,5333.0,31015.0,98005.0,18.3,77.3
Odisha,2020-01-01,2020,4738.0,32315.0,104633.0,18.5,77.85
Odisha,2021-01-01,2021,5081.0,34258.0,103211.0,18.7,78.4
Odisha,2022-01-01,2022,5467.0,40748.0,133768.0,18.9,78.95
Punjab,2010-01-01,2010,3542.0,12039.0,,37.2,75.35
Punjab,2011-01-01,2011,4931.0,16828.0,,37.5,75.8
Punjab,2012-01-01,2012,4820.0,18841.0,85577.0,37.8,76.25
Punjab,2013-01-01,2013,4588.0,22588.0,94318.0,38.1,76.7
Punjab,2014-01-01,2014,4621.0,24079.0,103831.0,38.4,77.15
Punjab,2015-01-01,2015,4893.0,25570.0,108970.0,38.7,77.6
Punjab,2016-01-01,2016,5077.0,26690.0,118858.0,39.0,78.05
Punjab,2017-01-01,2017,4463.0,27747.0,128780.0,39.3,78.5
Punjab,2018-01-01,2018,4740.0,31496.0,139835.0,39.6,78.95
Punjab,2019-01-01,2019,4525.0,31811.0,149974.0,39.9,79.4
Punjab,2020-01-01,2020,3898.0,29995.0,154385.0,40.2,79.85
Punjab,2021-01-01,2021,4589.0,30053.0,150620.0,40.5,80.3
Punjab,2022-01-01,2022,4756.0,37327.0,170276.0,40.8,80.75
Rajasthan,2010-01-01,2010,9163.0,16414.0,,24.6,65.4
Rajasthan,2011-01-01,2011,9232.0,20758.0,,24.9,66.1
Rajasthan,2012-01-01,2012,9528.0,25377.0,57192.0,25.2,66.8
Rajasthan,2013-01-01,2013,9724.0,30503.0,63658.0,25.5,67.5
Rajasthan,2014-01-01,2014,10289.0,33478.0,69480.0,25.8,68.2
Rajasthan,2015-01-01,2015,10510.0,38673.0,76429.0,26.1,68.9
Rajasthan,2016-01-01,2016,10465.0,42713.0,83426.0,26.4,69.6
Rajasthan,2017-01-01,2017,10444.0,44372.0,91924.0,26.7,70.3
Rajasthan,2018-01-01,2018,10320.0,54342.0,98698.0,27.0,71.0
Rajasthan,2019-01-01,2019,10563.0,58205.0,106604.0,27.3,71.7
Rajasthan,2020-01-01,2020,9250.0,59245.0,115534.0,27.6,72.4
Rajasthan,2021-01-01,2021,10043.0,60283.0,114925.0,27.9,73.1
Rajasthan,2022-01-01,2022,11104.0,74808.0,134143.0,28.2,73.8
Tamil Nadu,2010-01-01,2010,15409.0,36547.0,,48.1,79.7
Tamil Nadu,2011-01-01,2011,15422.0,47782.0,,48.4,80.1
Tamil Nadu,2012-01-01,2012,16175.0,59517.0,93112.0,48.7,80.5
Tamil Nadu,2013-01-01,2013,15563.0,71254.0,105340.0,49.0,80.9
Tamil Nadu,2014-01-01,2014,15190.0,73718.0,116960.0,49.3,81.3
Tamil Nadu,2015-01-01,2015,15642.0,78657.0,129494.0,49.6,81.7
Tamil Nadu,2016-01-01,2016,17218.0,80476.0,142028.0,49.9,82.1
Tamil Nadu,2017-01-01,2017,16157.0,85941.0,156595.0,50.2,82.5
Tamil Nadu,2018-01-01,2018,12216.0,96472.0,175276.0,50.5,82.9
Tamil Nadu,2019-01-01,2019,18129.0,106138.0,194373.0,50.8,83.3
Tamil Nadu,2020-01-01,2020,14527.0,107462.0,206165.0,51.1,83.7
Tamil Nadu,2021-01-01,2021,15384.0,106153.0,209628.0,51.4,84.1
Tamil Nadu,2022-01-01,2022,17884.0,122866.0,242339.0,51.7,84.5
Telangana,2010-01-01,2010,,,,38.45,66.05
Telangana,2011-01-01,2011,,,,38.9,66.5
Telangana,2012-01-01,2012,,,91121.0,39.35,66.95
Telangana,2013-01-01,2013,,,101007.0,39.8,67.4
Telangana,2014-01-01,2014,6906.0,,112162.0,40.25,67.85
Telangana,2015-01-01,2015,7110.0,29288.0,124104.0,40.7,68.3
Telangana,2016-01-01,2016,7219.0,39975.0,140840.0,41.15,68.75
Telangana,2017-01-01,2017,6596.0,48408.0,159395.0,41.6,69.2
Telangana,2018-01-01,2018,6603.0,58177.0,179358.0,42.05,69.65
Telangana,2019-01-01,2019,6964.0,65040.0,209848.0,42.5,70.1
Telangana,2020-01-01,2020,6882.0,67597.0,231326.0,42.95,70.55
Telangana,2021-01-01,2021,7557.0,66650.0,225734.0,43.4,71.0
Telangana,2022-01-01,2022,7559.0,91271.0,269000.0,43.85,71.45
Uttar Pradesh,2010-01-01,2010,15175.0,33878.0,,22.1,67.05
Uttar Pradesh,2011-01-01,2011,21512.0,41355.0,,22.3,67.7
Uttar Pradesh,2012-01-01,2012,16149.0,52613.0,32648.0,22.5,68.35
Uttar Pradesh,2013-01-01,2013,16004.0,58098.0,36571.0,22.7,69.0
Uttar Pradesh,2014-01-01,2014,16287.0,66582.0,41137.0,22.9,69.65
Uttar Pradesh,2015-01-01,2015,17666.0,74172.0,43458.0,23.1,70.3
Uttar Pradesh,2016-01-01,2016,19320.0,81106.0,48725.0,23.3,70.95
Uttar Pradesh,2017-01-01,2017,20124.0,85966.0,54564.0,23.5,71.6
Uttar Pradesh,2018-01-01,2018,22256.0,109605.0,59595.0,23.7,72.25
Uttar Pradesh,2019-01-01,2019,22655.0,122816.0,64113.0,23.9,72.9
Uttar Pradesh,2020-01-01,2020,19149.0,122826.0,67639.0,24.1,73.55
Uttar Pradesh,2021-01-01,2021,21227.0,119897.0,63464.0,24.3,74.2
Uttar Pradesh,2022-01-01,2022,22595.0,147368.0,76063.0,24.5,74.85
West Bengal,2010-01-01,2010,5680.0,16900.0,,31.65,75.8
West Bengal,2011-01-01,2011,5664.0,21129.0,,31.9,76.3
West Bengal,2012-01-01,2012,5397.0,24938.0,51543.0,32.15,76.8
West Bengal,2013-01-01,2013,5504.0,32808.0,58195.0,32.4,77.3
West Bengal,2014-01-01,2014,5875.0,35831.0,65932.0,32.65,77.8
West Bengal,2015-01-01,2015,6234.0,39412.0,68876.0,32.9,78.3
West Bengal,2016-01-01,2016,6544.0,42492.0,75992.0,33.15,78.8
West Bengal,2017-01-01,2017,5769.0,45466.0,82291.0,33.4,79.3
West Bengal,2018-01-01,2018,5711.0,57701.0,91401.0,33.65,79.8
West Bengal,2019-01-01,2019,5767.0,61831.0,103920.0,33.9,80.3
West Bengal,2020-01-01,2020,5128.0,60669.0,110316.0,34.15,80.8
West Bengal,2021-01-01,2021,5800.0,60287.0,105108.0,34.4,81.3
West Bengal,2022-01-01,2022,6002.0,71082.0,122883.0,34.65,81.8
