state,year,killed,source_pdf,source_page
Andhra Pradesh,2010,15684,2010,44
Andhra Pradesh,2011,15165,2014,66
Andhra Pradesh,2012,14964,2014,66
Andhra Pradesh,2013,14171,2014,66
Andhra Pradesh,2014,7908,2014,66
Andhra Pradesh,2015,8297,2019,62-63
Andhra Pradesh,2016,8541,2019,62-63
Andhra Pradesh,2017,8060,2019,62-63
Andhra Pradesh,2018,7556,2019,62-63
Andhra Pradesh,2019,7984,2023,94
Andhra Pradesh,2020,7039,2023,94
Andhra Pradesh,2021,8186,2023,94
Andhra Pradesh,2022,8293,2023,94
Bihar,2010,5137,2010,44
Bihar,2011,5090,2014,66
Bihar,2012,5056,2014,66
Bihar,2013,5061,2014,66
Bihar,2014,4913,2014,66
Bihar,2015,5421,2019,62-63
Bihar,2016,4901,2019,62-63
Bihar,2017,5554,2019,62-63
Bihar,2018,6729,2019,62-63
Bihar,2019,7205,2023,94
Bihar,2020,6699,2023,94
Bihar,2021,7660,2023,94
Bihar,2022,8898,2023,94
Haryana,2010,4719,2010,44
Haryana,2011,4762,2014,66
Haryana,2012,4446,2014,66
Haryana,2013,4517,2014,66
Haryana,2014,4483,2014,66
Haryana,2015,4879,2019,62-63
Haryana,2016,5024,2019,62-63
Haryana,2017,5120,2019,62-63
Haryana,2018,5118,2019,62-63
Haryana,2019,5057,2023,94
Haryana,2020,4507,2023,94
Haryana,2021,4706,2023,94
Haryana,2022,4915,2023,94
Jharkhand,2010,2540,2010,44
Jharkhand,2011,2572,2014,66
Jharkhand,2012,2818,2014,66
Jharkhand,2013,2706,2014,66
Jharkhand,2014,2628,2014,66
Jharkhand,2015,2893,2019,62-63
Jharkhand,2016,3027,2019,62-63
Jharkhand,2017,3256,2019,62-63
Jharkhand,2018,3542,2019,62-63
Jharkhand,2019,3801,2023,94
Jharkhand,2020,3044,2023,94
Jharkhand,2021,3513,2023,94
Jharkhand,2022,3898,2023,94
Karnataka,2010,9590,2010,44
Karnataka,2011,8971,2014,66
Karnataka,2012,9448,2014,66
Karnataka,2013,10046,2014,66
Karnataka,2014,10452,2014,66
Karnataka,2015,10856,2019,62-63
Karnataka,2016,11133,2019,62-63
